Forms.addItem(address,uint256)@30:1054	Forms.addItem(address,uint256)	Forms.items	push
Forms.addItem(address,uint256)@31:1093	Forms.addItem(address,uint256)	Forms.items	=
Forms.addItem(address,uint256)@32:1142	Forms.addItem(address,uint256)	Forms.counter	++
Forms.deposit(uint256)@25:914	Forms.deposit(uint256)	Forms.balances	+=
Forms.deposit(uint256)@26:954	Forms.deposit(uint256)	Forms.total	=
Forms.pause()@51:1544	Forms.pause()	Forms.paused	=
Forms.removeLast()@36:1205	Forms.removeLast()	Forms.items	pop
Forms.removeLast()@37:1226	Forms.removeLast()	Forms.counter	--
Forms.reset(address)@41:1295	Forms.reset(address)	Forms.balances	delete
Forms.reset(address)@42:1325	Forms.reset(address)	Forms.items	delete
Forms.swapOwner(address)@46:1429	Forms.swapOwner(address)	Forms.owner	=
Hidden.plain(uint256)@105:3149	Hidden.plain(uint256)	Hidden.total	=
