Forms.addItem(address,uint256)	Forms.balances
Forms.addItem(address,uint256)	Forms.owner
Forms.addItem(address,uint256)	Forms.paused
Forms.addItem(address,uint256)	Forms.total
Forms.deposit(uint256)	Forms.counter
Forms.deposit(uint256)	Forms.items
Forms.deposit(uint256)	Forms.owner
Forms.deposit(uint256)	Forms.paused
Forms.pause()	Forms.balances
Forms.pause()	Forms.counter
Forms.pause()	Forms.items
Forms.pause()	Forms.owner
Forms.pause()	Forms.total
Forms.removeLast()	Forms.balances
Forms.removeLast()	Forms.owner
Forms.removeLast()	Forms.paused
Forms.removeLast()	Forms.total
Forms.report()	Forms.balances
Forms.report()	Forms.counter
Forms.report()	Forms.items
Forms.report()	Forms.owner
Forms.report()	Forms.paused
Forms.report()	Forms.total
Forms.reset(address)	Forms.counter
Forms.reset(address)	Forms.owner
Forms.reset(address)	Forms.paused
Forms.reset(address)	Forms.total
Forms.swapOwner(address)	Forms.balances
Forms.swapOwner(address)	Forms.counter
Forms.swapOwner(address)	Forms.items
Forms.swapOwner(address)	Forms.paused
Forms.swapOwner(address)	Forms.total
Hidden.find(uint256)	Hidden.byId
Hidden.find(uint256)	Hidden.implementation
Hidden.find(uint256)	Hidden.items
Hidden.find(uint256)	Hidden.total
Hidden.plain(uint256)	Hidden.byId
Hidden.plain(uint256)	Hidden.implementation
Hidden.plain(uint256)	Hidden.items
