protocol,action,bucket,address,amount_raw,token,token_address,block_number,tx_hash,log_index,contract_address
privacy-pools,deposit,privacy-pools-ETH-0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb,0x609fb8f19b28a76f12557a235c3e88f621267c36,100000000000000000,ethereum,,22167294,0x55693706fddd4130a3b07fefa274c0b7730281c37e48725aa6aa8e1b7dca4948,262,0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb
privacy-pools,withdrawal,privacy-pools-ETH-0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb,0x609fb8f19b28a76f12557a235c3e88f621267c36,100000000000000000,ethereum,,22167336,0x8c498ee62c5923b05cf5ce69c6ed8deab9d8473f8f3f1bd785074cc505f71afe,267,0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb
privacy-pools,deposit,privacy-pools-ETH-0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb,0x609fb8f19b28a76f12557a235c3e88f621267c36,100000000000000000,ethereum,,22167379,0x578031d5b5659bd9a41cbc37e0f743b0fb00a217471a7b435c1c1b879ab460c8,109,0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb
privacy-pools,deposit,privacy-pools-ETH-0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb,0x609fb8f19b28a76f12557a235c3e88f621267c36,100000000000000000,ethereum,,22167383,0x03204a2c42027b3f9cb3a2f2597ce9406195d223cabcf39e0a5ebd69c0a8bcf0,105,0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb
privacy-pools,withdrawal,privacy-pools-ETH-0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb,0x609fb8f19b28a76f12557a235c3e88f621267c36,100000000000000000,ethereum,,22167539,0xdc2d0b3c6a729b3d5fd8a60a0281679590729d764d9e4f3839d6d3d3b7cfcca3,359,0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb
privacy-pools,withdrawal,privacy-pools-ETH-0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb,0x6818809eefce719e480a7526d76bd3e561526b46,100000000000000000,ethereum,,22167564,0x51fdc6cf55af6598544db3cef441e405df9a24d17d7ca9e47a287828839aa786,372,0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb
privacy-pools,deposit,privacy-pools-ETH-0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb,0x609fb8f19b28a76f12557a235c3e88f621267c36,100000000000000000,ethereum,,22167602,0xb1ad48dc1516e4a1ae0358af0b5ccd103a5d05560616146097daa71ccb02b458,242,0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb
privacy-pools,deposit,privacy-pools-ETH-0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb,0x578dd5e76b4b8a05f6653ecce39d688efb040382,100000000000000000,ethereum,,22167634,0x8c8a79045ae1dd6664f47eecdc25dc07aba02dfbf1280f0a85df0f4aa44a4346,304,0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb
privacy-pools,deposit,privacy-pools-ETH-0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb,0x609fb8f19b28a76f12557a235c3e88f621267c36,100000000000000000,ethereum,,22167691,0x6eed8be4c2611a51ad88e66aa5eba6c3e9831a23e03224f088a52febc579b6be,136,0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb
privacy-pools,deposit,privacy-pools-ETH-0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb,0xb8eb653dd6d0ed6f7fe15d7a3e216bbf147eaf99,100000000000000000,ethereum,,22167696,0x2a6154c39be3b411a19cc97cedfd0638884805ae0c166e33b9bb2e9bdb896b9c,56,0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb
privacy-pools,withdrawal,privacy-pools-ETH-0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb,0x609fb8f19b28a76f12557a235c3e88f621267c36,100000000000000000,ethereum,,22167731,0x6e30991648be10f43cb58c73aad4ddd60c8ac8a7b98c2a1da8bb254dedfe6ca0,325,0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb
privacy-pools,withdrawal,privacy-pools-ETH-0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb,0x609fb8f19b28a76f12557a235c3e88f621267c36,100000000000000000,ethereum,,22167733,0x849cea21d70c0321fe93c95006d625a67c33ee00d2e93b7bca520f0caa6ab7a2,131,0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb
privacy-pools,deposit,privacy-pools-ETH-0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb,0x297bf847dcb01f3e870515628b36eabad491e5e8,100000000000000000,ethereum,,22167922,0x79a815adbfd24da2cd2b848b4052c6ffc0d6f981d6944a36f14bcf26087dad13,88,0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb
privacy-pools,withdrawal,privacy-pools-ETH-0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb,0x578dd5e76b4b8a05f6653ecce39d688efb040382,100000000000000000,ethereum,,22168219,0xe1a8b16dbb0f5d3ca2acf2f982f03eb9140c575bf13ee0d393abe5a714ddf229,130,0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb
privacy-pools,withdrawal,privacy-pools-ETH-0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb,0x297bf847dcb01f3e870515628b36eabad491e5e8,100000000000000000,ethereum,,22168223,0x0a3778a176d7e6fb64a3286d748b53f71c3b55e52402157d2f9181eb9741076b,184,0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb
privacy-pools,deposit,privacy-pools-ETH-0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb,0x297bf847dcb01f3e870515628b36eabad491e5e8,100000000000000000,ethereum,,22168227,0x693aa2f431c00a3784b4dfd7648a61a493a0852993fbd6ebf7e0b9ef1c4db8c6,211,0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb
privacy-pools,deposit,privacy-pools-ETH-0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb,0x578dd5e76b4b8a05f6653ecce39d688efb040382,100000000000000000,ethereum,,22168237,0x075445adf9c8f30345decd52812bbb809a161a6968f6edf3cbcd3e66557833eb,227,0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb
privacy-pools,withdrawal,privacy-pools-ETH-0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb,0x6818809eefce719e480a7526d76bd3e561526b46,100000000000000000,ethereum,,22168311,0x3980801e0e16345198639eddd4b3caef9100b5370e6ec9aaf08855b5fa171304,440,0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb
privacy-pools,withdrawal,privacy-pools-ETH-0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb,0x6818809eefce719e480a7526d76bd3e561526b46,100000000000000000,ethereum,,22168333,0xdc7be15d61efc01999ab493b90ad80545e8108caa4e36b76239f5f1bd9a132a1,1201,0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb
privacy-pools,deposit,privacy-pools-ETH-0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb,0x297bf847dcb01f3e870515628b36eabad491e5e8,1000000000000000000,ethereum,,22168360,0x746e92b9c75863c0028c95abea6a5548ff4ca211446011bf757c1df22671a710,9,0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb
privacy-pools,deposit,privacy-pools-ETH-0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb,0xe95dcdd02a84f36f31976128e72772718cbfd2a6,100000000000000000,ethereum,,22168363,0xaf7fd18290fe450f63bdfd2a46207967df2ecc3b7bf7be605515a653c0dc216f,163,0xf241d57c6debae225c0f2e6ea1529373c9a9c9fb
